chr	start	end	fisher.p.value	tmr.ratio	nor.ratio	OR	CI_95_L	CI_95_H	cytoband	DM.band.	CpGi	DM.island.	closest.TSS	pos	dir	dist	overlapped.TSS	overlapped.pos	ovrl.dir	norm.700.reads.min	norm.700.reads.25q	norm.700.reads.med	norm.700.reads.75q	norm.700.reads.max	tumor.700.reads.min	tumor.700.reads.25q	tumor.700.reads.med	tumor.700.reads.75q	tumor.700.reads.max
chr2	119599901	119600000	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q14.2	FALSE	CpG: 103.chr2.119599458	TRUE	EN1	119605759	-	5758	EN1	119605759	-	0	1	4	6	36	2	20.75	40	63.25	257
chr2	119600001	119600100	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q14.2	FALSE	CpG: 103.chr2.119599458	TRUE	EN1	119605759	-	5658	EN1	119605759	-	0	1	2	6	35	3	20.75	44.5	64.25	281
chr2	119600201	119600300	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q14.2	FALSE	CpG: 103.chr2.119599458	TRUE	EN1	119605759	-	5458	EN1	119605759	-	0	0	1	4	16	1	22.25	38	57	261
chr2	119600301	119600400	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q14.2	FALSE	CpG: 103.chr2.119599458	TRUE	EN1	119605759	-	5358	EN1	119605759	-	0	0	2	3	14	1	18.25	33	48.25	183
chr2	119600401	119600500	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	q14.2	FALSE	CpG: 103.chr2.119599458	TRUE	EN1	119605759	-	5258	EN1	119605759	-	0	0	3	5	18	2	15	28	45.75	178
chr2	119606901	119607000	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-1141	EN1	119605759	-	0	1	4	6	13	2	19	29.5	50	196
chr2	119607001	119607100	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-1241	EN1	119605759	-	0	2	5	9	24	1	23	41	68.75	253
chr2	119607101	119607200	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-1341	EN1	119605759	-	0	4	6	10	24	1	26	45	77	284
chr2	119607201	119607300	2.676457283032e-15	0.94	0.04	298.911494422916	32.8205128205125	13717.8715727324	q14.2	FALSE	NA	NA	EN1	119605759	-	-1441	EN1	119605759	-	0	3	5	12	24	1	28.5	46.5	82.5	316
chr2	119607301	119607400	7.0120020431495e-15	0.96	0.08	217.494903400769	29.7892358317955	3412.87682002283	q14.2	FALSE	NA	NA	EN1	119605759	-	-1541	EN1	119605759	-	0	3	8	12	33	1	31.5	54.5	92.75	345
chr2	119607401	119607500	5.82845537027898e-16	0.98	0.08	413.570111901692	40.9127739373106	16383.9999999404	q14.2	FALSE	CpG: 41.chr2.119607378	TRUE	EN1	119605759	-	-1641	EN1	119605759	-	0	4	8	11	51	1	34	61	101.75	329
chr2	119607501	119607600	5.82845537027898e-16	0.98	0.08	413.570111901692	40.9127739373106	16383.9999999404	q14.2	FALSE	CpG: 41.chr2.119607378	TRUE	EN1	119605759	-	-1741	EN1	119605759	-	0	4	10	12	83	1	36	68.5	109.5	431
chr2	119607601	119607700	5.82845537027898e-16	0.98	0.08	413.570111901692	40.9127739373106	16383.9999999404	q14.2	FALSE	CpG: 41.chr2.119607378	TRUE	EN1	119605759	-	-1841	EN1	119605759	-	0	4	10	13	83	0	36	66	113	448
chr2	119607701	119607800	5.82845537027898e-16	0.98	0.08	413.570111901692	40.9127739373106	16383.9999999404	q14.2	FALSE	CpG: 41.chr2.119607378	TRUE	EN1	119605759	-	-1941	EN1	119605759	-	0	4	8	12	83	0	34.25	62	106	426
chr2	119607801	119607900	5.84452540921227e-14	0.94	0.08	149.854321798772	23.3733446697754	1925.36743253209	q14.2	FALSE	CpG: 41.chr2.119607378	TRUE	EN1	119605759	-	-2041	EN1	119605759	-	0	2	6	8	71	0	28.25	43	67.75	288
chr2	119607901	119608000	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	q14.2	FALSE	NA	NA	EN1	119605759	-	-2141	EN1	119605759	-	0	1	4	9	70	0	24	37.5	60	250
chr2	119608001	119608100	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-2241	EN1	119605759	-	0	1	4	7	66	0	16.25	27	50	180
chr2	119614401	119614500	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-8641	NA	NA	NA	0	1	3	8	39	2	14.25	28.5	57.5	141
chr2	119614501	119614600	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-8741	NA	NA	NA	0	2	4	8	81	3	22.5	40.5	66.5	199
chr2	119614601	119614700	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-8841	NA	NA	NA	0	2	4	8	81	3	23.25	38	61.5	196
chr2	119614701	119614800	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-8941	NA	NA	NA	0	1	4	11	81	3	28	39	69.75	235
chr2	119614801	119614900	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9041	NA	NA	NA	0	1	4	10	77	2	25.5	38	66.75	238
chr2	119614901	119615000	6.40035936145176e-14	0.86	0	Inf	27.8309764505005	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9141	NA	NA	NA	0	1	4	8	78	2	23	35	59.75	244
chr2	119615001	119615100	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9241	NA	NA	NA	0	2	4	10	114	0	22	37.5	63.75	266
chr2	119615101	119615200	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9341	NA	NA	NA	0	2	6	13	95	0	27.5	45.5	76	309
chr2	119615201	119615300	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9441	NA	NA	NA	0	2	6	13	96	0	28.25	57	83.5	320
chr2	119615301	119615400	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9541	NA	NA	NA	0	2	7	14	54	4	26.25	51.5	74.25	242
chr2	119615401	119615500	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	q14.2	FALSE	CpG: 173.chr2.119613031	TRUE	EN1	119605759	-	-9641	NA	NA	NA	0	3	7	13	76	4	25	43	66.5	190
chr2	119615501	119615600	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	q14.2	FALSE	NA	NA	EN1	119605759	-	-9741	NA	NA	NA	0	2	5	11	78	4	24	39.5	58	172
chr2	119615601	119615700	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	q14.2	FALSE	NA	NA	EN1	119605759	-	-9841	NA	NA	NA	0	2	7	14	78	6	27	44	65.5	196
chr2	119615701	119615800	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	q14.2	FALSE	NA	NA	EN1	119605759	-	-9941	NA	NA	NA	0	2	6	12	77	7	31.25	47.5	65.75	194
chr2	119615801	119615900	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-10041	NA	NA	NA	0	3	6	11	28	7	23.25	38.5	59.75	164
chr2	119615901	119616000	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-10141	NA	NA	NA	0	3	6	8	24	9	21.25	30	48.5	113
chr2	119616001	119616100	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-10241	NA	NA	NA	0	3	6	8	29	4	17.5	31	41.75	110
chr2	119616101	119616200	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q14.2	FALSE	NA	NA	EN1	119605759	-	-10341	NA	NA	NA	0	3	5	8	15	5	17.5	29.5	47	102
chr2	119616201	119616300	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q14.2	FALSE	CpG: 48.chr2.119616133	TRUE	EN1	119605759	-	-10441	NA	NA	NA	0	3	5	9	15	5	19.25	29	47	111
chr2	119616301	119616400	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	q14.2	FALSE	CpG: 48.chr2.119616133	TRUE	EN1	119605759	-	-10541	NA	NA	NA	0	4	6	9	16	5	20	29	50.75	140
chr2	119616401	119616500	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q14.2	FALSE	CpG: 48.chr2.119616133	TRUE	EN1	119605759	-	-10641	NA	NA	NA	0	4	6	9	14	0	19.25	30	52.75	153
chr2	119616501	119616600	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q14.2	FALSE	CpG: 48.chr2.119616133	TRUE	EN1	119605759	-	-10741	NA	NA	NA	0	3	4	7	14	0	14.25	25.5	43.75	127
chr2	155555101	155555200	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	7	KCNJ3	155555093	+	0	1	3	8	14	0	14	29.5	45.25	212
chr2	155555201	155555300	8.66448648556534e-12	0.84	0.04	113.949251987501	14.8727175768086	5104.50600631386	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	107	KCNJ3	155555093	+	0	3	3	11	17	0	21	38	57	225
chr2	155555301	155555400	2.21412431660222e-12	0.86	0.04	131.687196050845	16.8767041097356	5921.64630215503	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	207	KCNJ3	155555093	+	0	3	7	11	26	0	25	45.5	65.5	332
chr2	155555401	155555500	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	307	KCNJ3	155555093	+	0	4	9	16	57	0	30.5	52.5	87.5	388
chr2	155555501	155555600	2.676457283032e-15	0.94	0.04	298.911494422916	32.8205128205125	13717.8715727324	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	407	KCNJ3	155555093	+	0	5	10	21	59	0	36.25	60	96.75	436
chr2	155555601	155555700	2.676457283032e-15	0.94	0.04	298.911494422916	32.8205128205125	13717.8715727324	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	507	KCNJ3	155555093	+	2	7	13	20	60	0	38	63.5	94.75	403
chr2	155555701	155555800	1.83614313855886e-14	0.92	0.04	229.908012810991	26.8305741529044	10509.9829087958	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	607	KCNJ3	155555093	+	1	6	14	20	60	0	40	56	81.25	364
chr2	155555801	155555900	1.83614313855886e-14	0.92	0.04	229.908012810991	26.8305741529044	10509.9829087958	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	707	KCNJ3	155555093	+	1	7	14	17	61	0	32.25	50.5	75	307
chr2	155555901	155556000	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	q24.1	FALSE	CpG: 146.chr2.155554005	TRUE	KCNJ3	155555093	+	807	KCNJ3	155555093	+	2	7	15	19	61	0	31	45	67.5	287
chr2	155556001	155556100	2.21412431660222e-12	0.86	0.04	131.687196050845	16.8767041097356	5921.64630215503	q24.1	FALSE	NA	NA	KCNJ3	155555093	+	907	KCNJ3	155555093	+	2	6	13	19	35	1	25	36.5	58	196
chr2	157176801	157176900	6.85013828473173e-10	0.94	0.24	45.1952211263585	9.67810074612172	309.523021095489	q24.1	FALSE	CpG: 82.chr2.157176251	TRUE	NR4A2	157189287	-	12386	NA	NA	NA	1	7	11	16	34	0	38.5	56.5	79.25	282
chr2	157176901	157177000	1.04328438381729e-13	0.9	0.04	186.007702685445	22.5729925776831	8435.51344804209	q24.1	FALSE	CpG: 82.chr2.157176251	TRUE	NR4A2	157189287	-	12286	NA	NA	NA	1	5	7	13	21	0	35	52	72.75	254
chr2	157177001	157177100	1.04328438381729e-13	0.9	0.04	186.007702685445	22.5729925776831	8435.51344804209	q24.1	FALSE	CpG: 82.chr2.157176251	TRUE	NR4A2	157189287	-	12186	NA	NA	NA	0	3	4	9	20	1	31.25	47.5	74.5	250
chr2	157177101	157177200	5.10802873635223e-13	0.88	0.04	154.746002475729	19.3698177844685	6987.80566024278	q24.1	FALSE	CpG: 82.chr2.157176251	TRUE	NR4A2	157189287	-	12086	NA	NA	NA	0	2	4	8	15	1	26.5	40.5	70.5	212
chr2	157177201	157177300	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	q24.1	FALSE	CpG: 82.chr2.157176251	TRUE	NR4A2	157189287	-	11986	NA	NA	NA	0	2	3	8	17	1	26	36.5	67.75	174
chr2	157177301	157177400	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q24.1	FALSE	NA	NA	NR4A2	157189287	-	11886	NA	NA	NA	0	1	3	7	19	1	22	38	60.75	198
chr2	157177401	157177500	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q24.1	FALSE	NA	NA	NR4A2	157189287	-	11786	NA	NA	NA	0	1	3	5	16	0	11.5	26.5	48.5	179
chr2	162282701	162282800	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q24.2	FALSE	NA	NA	TBR1	162272620	+	10080	NA	NA	NA	0	4	7	11	21	0	13	28	48.25	147
chr2	162282801	162282900	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q24.2	FALSE	NA	NA	TBR1	162272620	+	10180	NA	NA	NA	0	5	7	11	27	0	17	33.5	52.75	162
chr2	162282901	162283000	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q24.2	FALSE	NA	NA	TBR1	162272620	+	10280	NA	NA	NA	0	6	7	11	28	0	17	35	55.5	170
chr2	162283001	162283100	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q24.2	FALSE	NA	NA	TBR1	162272620	+	10380	NA	NA	NA	0	5	7	12	28	0	17.25	35	56.75	170
chr2	162283901	162284000	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q24.2	FALSE	CpG: 85.chr2.162283581	TRUE	TBR1	162272620	+	11280	NA	NA	NA	0	1	3	6	20	0	15	24.5	45.75	240
chr2	162284001	162284100	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q24.2	FALSE	CpG: 85.chr2.162283581	TRUE	TBR1	162272620	+	11380	NA	NA	NA	0	1	5	10	23	0	20.25	35.5	53.75	296
chr2	162284101	162284200	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	q24.2	FALSE	CpG: 85.chr2.162283581	TRUE	TBR1	162272620	+	11480	NA	NA	NA	0	2	7	12	46	0	25.25	51.5	87.75	460
chr2	171569701	171569800	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	q31.1	TRUE	NA	NA	LINC01124	171571077	-	1276	SP5, LINC01124	171571857, 171571077	+, -	0	2	6	10	72	3	18.5	41	56.25	249
chr2	171569801	171569900	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	q31.1	TRUE	NA	NA	LINC01124	171571077	-	1176	SP5, LINC01124	171571857, 171571077	+, -	0	2	7	11	83	5	22	46	61	309
chr2	171569901	171570000	9.453240449212e-12	0.88	0.08	75.3789325546819	13.8457307338459	828.848319427801	q31.1	TRUE	CpG: 331.chr2.171569877	TRUE	LINC01124	171571077	-	1076	SP5, LINC01124	171571857, 171571077	+, -	0	2	8	12	83	5	24.25	46	67	325
chr2	171570001	171570100	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	q31.1	TRUE	CpG: 331.chr2.171569877	TRUE	LINC01124	171571077	-	976	SP5, LINC01124	171571857, 171571077	+, -	0	2	6	12	83	5	23	46	65	318
chr2	171570101	171570200	3.88355353403929e-11	0.86	0.08	64.0101891823486	12.0659412433866	667.703773471697	q31.1	TRUE	CpG: 331.chr2.171569877	TRUE	LINC01124	171571077	-	876	SP5, LINC01124	171571857, 171571077	+, -	0	2	6	11	83	5	22	44	59.75	309
chr2	171570201	171570300	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	q31.1	TRUE	CpG: 331.chr2.171569877	TRUE	LINC01124	171571077	-	776	SP5, LINC01124	171571857, 171571077	+, -	0	2	5	12	98	5	20	36.5	52.5	282
chr2	171678401	171678500	1.22651686533341e-09	0.76	0.04	70.8881388973918	9.66944701735788	3140.66464310385	q31.1	TRUE	NA	NA	GAD1	171673200	+	5200	GAD1	171673200	+	1	3	4	8	17	0	16.25	27.5	43.75	220
chr2	171678901	171679000	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	5700	GAD1	171673200	+	0	2	4	9	28	1	17.75	32	47.5	234
chr2	171679001	171679100	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	5800	GAD1	171673200	+	0	2	5	11	31	5	24.25	34.5	51.5	206
chr2	171679101	171679200	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	5900	GAD1	171673200	+	0	2	4	12	29	3	18.25	29	41.75	168
chr2	171679201	171679300	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	6000	GAD1	171673200	+	0	3	5	10	30	3	22.25	31	46.5	177
chr2	171679301	171679400	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	6100	GAD1	171673200	+	0	3	5	10	30	2	22.25	35	48.5	183
chr2	171679401	171679500	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	6200	GAD1	171673200	+	0	2	5	9	30	2	19	38	49.5	196
chr2	171679501	171679600	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q31.1	TRUE	CpG: 122.chr2.171678546	TRUE	GAD1	171673200	+	6300	GAD1	171673200	+	0	2	5	9	23	1	16.25	32.5	45	185
chr2	172945401	172945500	9.72789663929904e-12	0.94	0.16	72.56878936475	14.2440780368686	566.728768919127	q31.1	TRUE	NA	NA	DLX1	172950208	+	-4707	DLX1	172950208	+	0	4	9	16	45	0	28.25	53.5	76.5	155
chr2	172945501	172945600	1.03229796051015e-10	0.8	0.04	88.4116797580988	11.8492400110969	3935.61800127029	q31.1	TRUE	NA	NA	DLX1	172950208	+	-4607	DLX1	172950208	+	0	3	6	13	41	0	24.25	43	59.75	152
chr2	172945601	172945700	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-4507	DLX1	172950208	+	0	3	6	13	41	0	23	36.5	50	140
chr2	172945701	172945800	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-4407	DLX1	172950208	+	0	4	6	8	30	0	26.5	36	54.75	209
chr2	172945801	172945900	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-4307	DLX1	172950208	+	0	5	7	12	30	0	28	39.5	53.75	241
chr2	172945901	172946000	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-4207	DLX1	172950208	+	0	4	9	13	34	0	27	41	61.5	254
chr2	172946001	172946100	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q31.1	TRUE	CpG: 23.chr2.172945911	TRUE	DLX1	172950208	+	-4107	DLX1	172950208	+	0	5	8	13	37	0	24.5	41	56.5	261
chr2	172946101	172946200	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q31.1	TRUE	CpG: 23.chr2.172945911	TRUE	DLX1	172950208	+	-4007	DLX1	172950208	+	0	4	8	10	30	4	20.25	39	50	242
chr2	172946201	172946300	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-3907	DLX1	172950208	+	0	5	8	10	30	4	21	35.5	53.25	226
chr2	172946301	172946400	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-3807	DLX1	172950208	+	0	5	7	10	25	4	19.25	31.5	52.5	210
chr2	172946401	172946500	3.49086266839181e-12	0.8	0	Inf	19.4826775880226	Inf	q31.1	TRUE	NA	NA	DLX1	172950208	+	-3707	DLX1	172950208	+	0	4	5	9	17	2	15	23.5	38	133
chr2	172972401	172972500	9.97389333826233e-13	0.82	0	Inf	21.7692640054085	Inf	q31.1	TRUE	NA	NA	DLX2	172967478	-	-4922	DLX2	172967478	-	1	5	6	10	16	1	14.25	26	34.5	83
chr2	172972501	172972600	2.64014823659888e-13	0.84	0	Inf	24.497143179789	Inf	q31.1	TRUE	NA	NA	DLX2	172967478	-	-5022	DLX2	172967478	-	3	5	9	14	56	1	17	30	44.5	109
chr2	172972601	172972700	1.40007861031758e-14	0.88	0	Inf	32.0071259874135	Inf	q31.1	TRUE	NA	NA	DLX2	172967478	-	-5122	DLX2	172967478	-	3	5	9	12	56	1	18.25	32	48	121
chr2	172972701	172972800	1.04328438381729e-13	0.9	0.04	186.007702685445	22.5729925776831	8435.51344804209	q31.1	TRUE	NA	NA	DLX2	172967478	-	-5222	DLX2	172967478	-	4	6	10	14	55	1	19.5	34	52.75	133
chr2	172972801	172972900	1.83614313855886e-14	0.92	0.04	229.908012810991	26.8305741529044	10509.9829087958	q31.1	TRUE	NA	NA	DLX2	172967478	-	-5322	DLX2	172967478	-	3	7	12	15	62	0	24.25	40.5	63.25	161
chr2	172972901	172973000	1.04328438381729e-13	0.9	0.04	186.007702685445	22.5729925776831	8435.51344804209	q31.1	TRUE	CpG: 32.chr2.172972804	TRUE	DLX2	172967478	-	-5422	DLX2	172967478	-	3	6	12	18	62	0	23.75	36	63.5	145
chr2	172973001	172973100	2.21412431660222e-12	0.86	0.04	131.687196050845	16.8767041097356	5921.64630215503	q31.1	TRUE	CpG: 32.chr2.172972804	TRUE	DLX2	172967478	-	-5522	DLX2	172967478	-	3	5	8	14	62	0	21.5	33	57.5	138
chr2	172973101	172973200	3.10657442506465e-11	0.82	0.04	99.8679694024754	13.2212475876335	4458.66901990027	q31.1	TRUE	CpG: 32.chr2.172972804	TRUE	DLX2	172967478	-	-5622	DLX2	172967478	-	0	5	8	14	62	0	19.25	31	50.25	130
chr2	175193601	175193700	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q31.1	TRUE	CpG: 27.chr2.175193398	TRUE	LINC01305	175190755	+	2845	SP9, LINC01305	175199821, 175190755	+, +	0	1	4	8	39	0	16	28.5	50.25	166
chr2	175193701	175193800	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q31.1	TRUE	NA	NA	LINC01305	175190755	+	2945	SP9, LINC01305	175199821, 175190755	+, +	0	1	4	8	38	0	12.25	27	49.25	158
chr2	175208701	175208800	1.08574896162748e-09	0.7	0	Inf	12.0514506006612	Inf	q31.1	TRUE	CpG: 54.chr2.175208415	TRUE	SP9	175199821	+	8879	NA	NA	NA	0	2	3	7	28	1	19	30	42	157
chr2	175208801	175208900	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q31.1	TRUE	CpG: 54.chr2.175208415	TRUE	SP9	175199821	+	8979	NA	NA	NA	0	2	4	7	27	1	19.25	27	43.75	164
chr2	176933101	176933200	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q31.1	TRUE	NA	NA	EVX2	176948690	-	15489	NA	NA	NA	0	4	7	9	32	2	14.5	31.5	51.75	186
chr2	176933201	176933300	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q31.1	TRUE	CpG: 29.chr2.176933131	TRUE	EVX2	176948690	-	15389	NA	NA	NA	0	3	4	9	27	1	14	24.5	47	177
chr2	176933301	176933400	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q31.1	TRUE	CpG: 29.chr2.176933131	TRUE	EVX2	176948690	-	15289	NA	NA	NA	0	3	4	9	26	0	14	23.5	45.5	168
chr2	176933401	176933500	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q31.1	TRUE	NA	NA	EVX2	176948690	-	15189	NA	NA	NA	0	3	4	9	26	0	13.25	24	45.5	168
chr2	176933501	176933600	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q31.1	TRUE	NA	NA	EVX2	176948690	-	15089	NA	NA	NA	0	3	4	9	26	0	12.25	22.5	40.25	168
chr2	176945501	176945600	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q31.1	TRUE	CpG: 284.chr2.176944087	TRUE	EVX2	176948690	-	3089	EVX2	176948690	-	0	3	5	7	29	1	14.25	26.5	44.75	172
chr2	176945601	176945700	1.14246414601915e-11	0.78	0	Inf	17.543080161823	Inf	q31.1	TRUE	CpG: 284.chr2.176944087	TRUE	EVX2	176948690	-	2989	EVX2	176948690	-	0	3	5	11	29	1	17	29.5	43	168
chr2	176945701	176945800	1.38194220739623e-10	0.74	0	Inf	14.4338671948594	Inf	q31.1	TRUE	CpG: 284.chr2.176944087	TRUE	EVX2	176948690	-	2889	EVX2	176948690	-	0	3	6	11	24	1	15.75	25	38	141
chr2	176945801	176945900	2.98264746692855e-10	0.72	0	Inf	13.1690445571671	Inf	q31.1	TRUE	CpG: 284.chr2.176944087	TRUE	EVX2	176948690	-	2789	EVX2	176948690	-	0	3	6	10	36	1	16.5	22.5	36	128
chr2	176947401	176947500	3.52259778355903e-11	0.76	0	Inf	15.8789867362098	Inf	q31.1	TRUE	CpG: 284.chr2.176944087	TRUE	EVX2	176948690	-	1189	EVX2	176948690	-	1	4	5	9	27	1	20	28.5	41.5	162
chr2	176947701	176947800	1.5465108320584e-09	0.8	0.08	42.7909294467574	8.487997443863	433.284722627506	q31.1	TRUE	CpG: 284.chr2.176944087	TRUE	EVX2	176948690	-	889	EVX2	176948690	-	0	3	5	8	51	2	13.25	22	38.75	122
chr2	176948701	176948800	1.44122092033791e-10	0.84	0.08	55.2917459460206	10.6421667725836	571.024734819671	q31.1	TRUE	NA	NA	EVX2	176948690	-	-10	EVX2	176948690	-	0	6	8	20	37	7	19.25	42	68	261
